token,logprob,offset,line 
 yesterday,-10.400011,66,177
 morning,-2.9293334,76,177
 .,-7.284051,84,177
They,,0,178
 know,-5.3683352,4,178
 who,-4.0563083,9,178
 suddenly,-12.971213,13,178
 the,-5.6138124,22,178
 woman,-7.280124,26,178
 chased,-10.905505,32,178
 with,-5.3726177,39,178
 a,-1.6712476,44,178
 broom,-3.992373,46,178
 yesterday,-6.2580204,52,178
 morning,-3.9262822,62,178
 .,-6.689513,70,178
They,,0,179
 know,-5.368481,4,179
 that,-1.8908886,9,179
 suddenly,-11.295548,14,179
 the,-2.2629848,23,179
 woman,-7.0842323,27,179
 chased,-12.3258295,33,179
 with,-6.0452833,40,179
 a,-1.5874313,45,179
 broom,-3.4385803,47,179
 yesterday,-8.391581,53,179
 morning,-4.6004853,63,179
 .,-7.606761,71,179
He,,0,180
 knows,-6.0948105,2,180
 what,-2.3644574,8,180
 quickly,-14.217102,13,180
 the,-5.1506915,21,180
 scientists,-9.119139,25,180
 delivered,-10.082705,36,180
 the,-1.3867813,46,180
 article,-7.042099,50,180
 to,-1.6839966,58,180
 the,-0.74742174,61,180
 journal,-1.9149004,65,180
 last,-7.9902444,73,180
 night,-3.4419146,78,180
 .,-6.6061354,84,180
He,,0,181
 knows,-6.0944023,2,181
 that,-2.3340106,8,181
 quickly,-11.418886,13,181
 the,-3.320908,21,181
 scientists,-8.849476,25,181
 delivered,-11.565436,36,181
 the,-1.1486341,46,181
 article,-8.052952,50,181
 to,-1.1773859,58,181
 the,-0.61573774,61,181
 journal,-1.9133949,65,181
 last,-8.016769,73,181
 night,-3.5259867,78,181
 .,-6.7126474,84,181
He,,0,182
 knows,-6.0946846,2,182
 what,-2.3645477,8,182
 quickly,-14.211807,13,182
 the,-5.159067,21,182
 scientists,-9.124628,25,182
 delivered,-10.097593,36,182
 to,-2.437164,46,182
 the,-1.3559017,49,182
 journal,-8.337976,53,182
 last,-6.982376,61,182
 night,-2.5756881,66,182
 .,-6.5326314,72,182
He,,0,183
 knows,-6.0947065,2,183
 that,-2.3299134,8,183
 quickly,-11.423918,13,183
 the,-3.330781,21,183
 scientists,-8.848235,25,183
 delivered,-11.55856,36,183
 to,-2.5465543,46,183
 the,-1.172107,49,183
 journal,-8.85655,53,183
 last,-8.408063,61,183
 night,-4.235261,66,183
 .,-6.906034,72,183
I,,0,184
 know,-4.2628374,1,184
 who,-4.9882717,6,184
 brutally,-13.503237,10,184
 the,-9.086708,19,184
 police,-4.87128,23,184
 frightened,-10.400126,30,184
 the,-1.927357,41,184
 protesters,-3.322515,45,184
 with,-3.8599124,56,184
 their,-2.7474697,61,184
 guns,-5.053333,67,184
 last,-4.327262,72,184
 night,-0.616981,77,184
 .,-6.715751,83,184
I,,0,185
 know,-4.262696,1,185
 that,-2.391685,6,185
 brutally,-15.184896,11,185
 the,-8.085889,20,185
 police,-4.8529897,24,185
 frightened,-9.967132,31,185
 the,-1.5408862,42,185
 protesters,-3.54161,46,185
 with,-3.4404843,57,185
 their,-1.9405297,62,185
 guns,-4.5261164,68,185
 last,-6.420265,73,185
 night,-0.47653365,78,185
 .,-6.765714,84,185
I,,0,186
 know,-4.2627463,1,186
 who,-4.98734,6,186
 brutally,-13.499852,10,186
 the,-9.075225,19,186
 police,-4.857546,23,186
 frightened,-10.3873,30,186
 with,-5.2642317,41,186
 their,-2.7075315,46,186
 guns,-4.703484,52,186
 last,-4.542706,57,186
 night,-0.5429517,62,186
 .,-6.7733665,68,186
I,,0,187
 know,-4.2631707,1,187
 that,-2.3927815,6,187
 brutally,-15.185799,11,187
 the,-8.094089,20,187
 police,-4.844762,24,187
 frightened,-9.965114,31,187
 with,-7.0196357,42,187
 their,-2.260624,47,187
 guns,-4.6696777,53,187
 last,-8.58451,58,187
 night,-0.7200083,63,187
 .,-7.4376745,69,187
You,,0,188
 know,-3.1654954,3,188
 who,-4.1619883,8,188
 with,-9.929646,12,188
 skill,-9.246058,17,188
 the,-5.846628,23,188
 radical,-12.458603,27,188
 assassinated,-13.290279,35,188
 the,-3.4638407,48,188
 politician,-5.6063104,52,188
 with,-4.4033165,63,188
 a,-2.1163003,68,188
 bomb,-2.116776,70,188
 yesterday,-6.4876223,75,188
 .,-7.313058,85,188
You,,0,189
 know,-3.1658573,3,189
 that,-2.8756695,8,189
 with,-6.8768754,13,189
 skill,-9.920226,18,189
 the,-5.585077,24,189
 radical,-11.568681,28,189
 assassinated,-13.671842,36,189
 the,-1.6165696,49,189
 politician,-5.851069,53,189
 with,-5.4500303,64,189
 a,-0.8290587,69,189
 bomb,-2.498245,71,189
 yesterday,-5.2389874,76,189
 .,-7.2302485,86,189
You,,0,190
 know,-3.1655757,3,190
 who,-4.1628246,8,190
 with,-9.924237,12,190
 skill,-9.231648,17,190
 the,-5.863343,23,190
 radical,-12.457688,27,190
 assassinated,-13.296815,35,190
 with,-5.2270975,48,190
 a,-1.7528521,53,190
 bomb,-3.1740558,55,190
 yesterday,-6.5412884,60,190
 .,-6.7794905,70,190
You,,0,191
 know,-3.1655757,3,191
 that,-2.8794084,8,191
 with,-6.8775954,13,191
 skill,-9.924285,18,191
 the,-5.5914426,24,191
 radical,-11.560966,28,191
 assassinated,-13.6942,36,191
 with,-6.2128167,49,191
 a,-1.2189167,54,191
 bomb,-3.2064314,56,191
 yesterday,-6.356102,61,191
 .,-6.9534063,71,191
She,,0,192
 knows,-5.9450836,3,192
 who,-4.218655,9,192
 cheer,-15.309554,13,192
fully,-2.6780348,19,192
 the,-5.9252353,24,192
 mechanic,-10.852716,28,192
 greeted,-8.566528,37,192
 the,-2.2953527,45,192
 teacher,-7.237867,49,192
 with,-3.2844934,57,192
 a,-1.133255,62,192
 wave,-4.9344845,64,192
 yesterday,-9.036146,69,192
 .,-6.021677,79,192
She,,0,193
 knows,-5.9450684,3,193
 that,-2.3974555,9,193
 cheer,-12.105581,14,193
fully,-4.0498104,20,193
 the,-6.4531446,25,193
 mechanic,-11.1391325,29,193
 greeted,-8.298735,38,193
 the,-1.63106,46,193
 teacher,-6.859982,50,193
 with,-2.9662874,58,193
 a,-0.78957266,63,193
 wave,-4.54163,65,193
 yesterday,-8.608204,70,193
 .,-6.4153137,80,193
She,,0,194
 knows,-5.945367,3,194
 who,-4.2169952,9,194
 cheer,-15.292901,13,194
fully,-2.694048,19,194
 the,-5.920246,24,194
 mechanic,-10.838393,28,194
 greeted,-8.5412855,37,194
 with,-4.2681146,45,194
 a,-1.0910615,50,194
 wave,-3.8394322,52,194
 yesterday,-8.70064,57,194
 .,-6.9527864,67,194
She,,0,195
 knows,-5.945367,3,195
 that,-2.384991,9,195
 cheer,-12.115142,14,195
fully,-4.0071106,20,195
 the,-6.4698772,25,195
 mechanic,-11.123063,29,195
 greeted,-8.39959,38,195
 with,-5.3827634,46,195
 a,-1.3583872,51,195
 wave,-3.5009298,53,195
 yesterday,-8.443323,58,195
 .,-7.5456767,68,195
He,,0,196
 knows,-6.0947647,2,196
 who,-4.0834546,8,196
 kindly,-14.79551,12,196
 the,-6.337176,19,196
 students,-10.277225,23,196
 reassured,-13.694284,32,196
 the,-2.8810844,42,196
 principal,-6.8653517,46,196
 with,-4.223943,56,196
 kind,-4.351635,61,196
 words,-0.5108839,66,196
 last,-8.130922,72,196
 night,-2.149499,77,196
 .,-6.4753904,83,196
He,,0,197
 knows,-6.0946007,2,197
 that,-2.3339314,8,197
 kindly,-14.574154,13,197
 the,-6.5683894,20,197
 students,-9.360649,24,197
 reassured,-11.845662,33,197
 the,-2.3228235,43,197
 principal,-6.432504,47,197
 with,-4.060482,57,197
 kind,-3.938515,62,197
 words,-0.4997395,67,197
 last,-8.876213,73,197
 night,-1.7372646,78,197
 .,-6.820699,84,197
He,,0,198
 knows,-6.09464,2,198
 who,-4.0788093,8,198
 kindly,-14.783141,12,198
 the,-6.348614,19,198
 students,-10.282558,23,198
 reassured,-13.701113,32,198
 with,-4.5856175,42,198
 kind,-5.128497,47,198
 words,-0.8349827,52,198
 last,-8.065826,58,198
 night,-2.3608603,63,198
 .,-6.378091,69,198
He,,0,199
 knows,-6.0947065,2,199
 that,-2.3299134,8,199
 kindly,-14.580677,13,199
 the,-6.571481,20,199
 students,-9.350126,24,199
 reassured,-11.838892,33,199
 with,-5.5140624,43,199
 kind,-4.2966866,48,199
 words,-1.0005813,53,199
 last,-9.5451765,59,199
 night,-1.2011479,64,199
 .,-4.5150237,70,199
I,,0,200
 know,-4.2626543,1,200
 who,-4.9904175,6,200
 with,-10.82329,10,200
 gust,-10.6506,15,200
o,-0.06325237,20,200
 our,-8.293817,21,200
 uncle,-8.40529,25,200
 grabbed,-8.983247,31,200
 the,-1.5245403,39,200
 food,-6.8001356,43,200
 in,-3.8094726,48,200
 front,-3.2094357,51,200
 of,-0.059829578,57,200
 the,-2.5615842,60,200
 guests,-4.2586613,64,200
 at,-4.473591,71,200
 the,-0.48804772,74,200
 holiday,-4.9387455,78,200
 party,-5.3148475,86,200
 .,-6.6787467,92,200
I,,0,201
 know,-4.2626543,1,201
 that,-2.3904536,6,201
 with,-6.426601,11,201
 gust,-11.521016,16,201
o,-0.07103961,21,201
 our,-8.531721,22,201
 uncle,-8.8203745,26,201
 grabbed,-8.973522,32,201
 the,-1.4527388,40,201
 food,-6.4202633,44,201
 in,-3.7030005,49,201
 front,-2.1815653,52,201
 of,-0.016180817,58,201
 the,-3.947552,61,201
 guests,-4.4436936,65,201
 at,-4.023757,72,201
 the,-0.5362961,75,201
 holiday,-6.5513554,79,201
 party,-3.1053452,87,201
 .,-7.3071256,93,201
I,,0,202
 know,-4.262682,1,202
 who,-4.985585,6,202
 with,-10.826201,10,202
 gust,-10.632714,15,202
o,-0.06399448,20,202
 our,-8.28691,21,202
 uncle,-8.336943,25,202
 grabbed,-9.000903,31,202
 the,-1.526196,39,202
 food,-6.8101277,43,202
 in,-3.8114357,48,202
 front,-3.226074,51,202
 of,-0.06025966,57,202
 at,-10.316042,60,202
 the,-1.0173819,63,202
 holiday,-6.732592,67,202
 party,-4.6221805,75,202
 .,-6.3428493,81,202
I,,0,203
 know,-4.2626586,1,203
 that,-2.3890448,6,203
 with,-6.4304013,11,203
 gust,-11.508952,16,203
o,-0.07065426,21,203
 our,-8.539585,22,203
 uncle,-8.813472,26,203
 grabbed,-8.973485,32,203
 the,-1.4538562,40,203
 food,-6.4300013,44,203
 in,-3.7007163,49,203
 front,-2.1806705,52,203
 of,-0.016161796,58,203
 at,-12.105916,61,203
 the,-1.2092693,64,203
 holiday,-8.049501,68,203
 party,-2.216356,76,203
 .,-6.9037642,82,203
My,,0,204
 neighbor,-7.701623,2,204
 told,-4.073484,11,204
 me,-0.09320597,16,204
 who,-7.201989,19,204
 with,-10.878141,23,204
 skill,-10.272011,28,204
 the,-5.7029066,34,204
 dog,-7.4125805,38,204
 caught,-6.758703,42,204
 the,-3.9023325,49,204
 mouse,-4.224661,53,204
 for,-6.7471232,59,204
 his,-3.0938916,63,204
 neighbors,-8.331017,67,204
 yesterday,-6.632185,77,204
 .,-5.406097,87,204
My,,0,205
 neighbor,-7.7018366,2,205
 told,-4.078708,11,205
 me,-0.09313491,16,205
 that,-1.2711866,19,205
 with,-7.243267,24,205
 skill,-11.0401745,29,205
 the,-5.3351526,35,205
 dog,-6.245975,39,205
 caught,-7.423018,43,205
 the,-1.313423,50,205
 mouse,-5.4065204,54,205
 for,-5.9554777,60,205
 his,-3.4899316,64,205
 neighbors,-9.209019,68,205
 yesterday,-7.1485257,78,205
 .,-5.9390793,88,205
My,,0,206
 neighbor,-7.701623,2,206
 told,-4.0734797,11,206
 me,-0.09320597,16,206
 who,-7.2019925,19,206
 with,-10.878139,23,206
 skill,-10.272011,28,206
 the,-5.7029047,34,206
 dog,-7.4125805,38,206
 caught,-6.758706,42,206
 the,-3.9023361,49,206
 mouse,-4.224661,53,206
 for,-6.7471232,59,206
 yesterday,-8.541851,63,206
 .,-7.359389,73,206
My,,0,207
 neighbor,-7.7018266,2,207
 told,-4.069901,11,207
 me,-0.093407504,16,207
 that,-1.2752237,19,207
 with,-7.2420454,24,207
 skill,-11.051107,29,207
 the,-5.3415627,35,207
 dog,-6.2431197,39,207
 caught,-7.425646,43,207
 the,-1.3148266,50,207
 mouse,-5.4002833,54,207
 for,-5.951558,60,207
 yesterday,-10.385981,64,207
 .,-7.9971356,74,207
I,,0,208
 know,-4.262631,1,208
 who,-4.9859276,6,208
 with,-10.821924,10,208
 passion,-10.469465,15,208
 the,-6.341798,23,208
 committee,-9.922201,27,208
 delivered,-10.115729,37,208
 the,-1.5347136,47,208
 report,-2.3874147,51,208
 to,-2.2475708,58,208
 the,-0.70273024,61,208
 president,-3.2699,65,208
 by,-7.226987,75,208
 the,-1.9328537,78,208
 deadline,-3.5017314,82,208
 .,-6.0458517,91,208
I,,0,209
 know,-4.26262,1,209
 that,-2.392246,6,209
 with,-6.4299355,11,209
 passion,-8.628628,16,209
 the,-6.6095,24,209
 committee,-9.548524,28,209
 delivered,-8.617124,38,209
 the,-2.2448735,48,209
 report,-2.045909,52,209
 to,-2.3238447,59,209
 the,-0.5121461,62,209
 president,-2.9561384,66,209
 by,-6.36652,76,209
 the,-1.3612742,79,209
 deadline,-1.0150828,83,209
 .,-6.896164,92,209
I,,0,210
 know,-4.2626324,1,210
 who,-4.9896975,6,210
 with,-10.823715,10,210
 passion,-10.462632,15,210
 the,-6.3424563,23,210
 committee,-9.9200115,27,210
 delivered,-10.111766,37,210
 the,-1.5373716,47,210
 report,-2.375614,51,210
 to,-2.2444158,58,210
 by,-8.462319,61,210
 the,-2.0983474,64,210
 deadline,-4.281959,68,210
 .,-6.0693564,77,210
I,,0,211
 know,-4.262696,1,211
 that,-2.391685,6,211
 with,-6.426722,11,211
 passion,-8.6331,16,211
 the,-6.6115203,24,211
 committee,-9.556836,28,211
 delivered,-8.649364,38,211
 the,-2.2406306,48,211
 report,-2.0485065,52,211
 to,-2.3263133,59,211
 by,-12.424009,62,211
 the,-1.3538102,65,211
 deadline,-1.7296311,69,211
 .,-6.497539,78,211
You,,0,212
 remember,-6.939231,3,212
 who,-5.5611963,12,212
 without,-12.233467,16,212
 thinking,-3.9159386,24,212
 the,-7.236327,33,212
 businessman,-12.71226,37,212
 showed,-8.297224,49,212
 the,-2.1378322,56,212
 presentation,-8.996629,60,212
 to,-2.448539,73,212
 the,-1.2416474,76,212
 visitors,-5.8707204,80,212
 after,-6.4594975,89,212
 lunch,-3.822663,95,212
 .,-6.61502,101,212
You,,0,213
 remember,-6.939093,3,213
 that,-1.8951418,12,213
 without,-9.459276,17,213
 thinking,-4.619791,25,213
 the,-6.622678,34,213
 businessman,-12.459786,38,213
 showed,-7.6362314,50,213
 the,-2.030257,57,213
 presentation,-9.785319,61,213
 to,-2.1872582,74,213
 the,-1.1154445,77,213
 visitors,-5.999849,81,213
 after,-6.219448,90,213
 lunch,-3.53355,96,213
 .,-7.02362,102,213
You,,0,214
 remember,-6.9395537,3,214
 who,-5.5600324,12,214
 without,-12.243755,16,214
 thinking,-3.9156182,24,214
 the,-7.239201,33,214
 businessman,-12.711254,37,214
 showed,-8.304367,49,214
 the,-2.1272335,56,214
 presentation,-9.00477,60,214
 to,-2.457724,73,214
 after,-8.763418,76,214
 lunch,-4.471214,82,214
 .,-7.3031397,88,214
You,,0,215
 remember,-6.939071,3,215
 that,-1.8992889,12,215
 without,-9.460576,17,215
 thinking,-4.6146417,25,215
 the,-6.6297326,34,215
 businessman,-12.462877,38,215
 showed,-7.6370854,50,215
 the,-2.0256147,57,215
 presentation,-9.788614,61,215
 to,-2.18387,74,215
 after,-12.455741,77,215
 lunch,-4.472322,83,215
 .,-6.2017484,89,215
She,,0,216
 told,-4.937282,3,216
 me,-1.1524658,8,216
 who,-7.1847486,11,216
 secretly,-12.597692,15,216
 the,-7.101085,24,216
 star,-6.7304935,28,216
 student,-7.951425,33,216
 stole,-11.757216,41,216
 answers,-7.784317,47,216
 to,-3.0664592,55,216
 the,-1.3055125,58,216
 test,-1.2528529,62,216
 from,-1.8309245,67,216
 the,-2.204766,72,216
 teacher,-0.78082466,76,216
 last,-7.649413,84,216
 year,-1.1652874,89,216
 .,-6.9518213,94,216
She,,0,217
 told,-4.937458,3,217
 me,-1.1507165,8,217
 that,-1.5290425,11,217
 secretly,-11.865755,16,217
 the,-4.176481,25,217
 star,-8.053205,29,217
 student,-7.4185452,34,217
 stole,-8.158348,42,217
 answers,-4.6866937,48,217
 to,-1.6441506,56,217
 the,-1.3252832,59,217
 test,-1.7189387,63,217
 from,-0.9837053,68,217
 the,-1.1939722,73,217
 teacher,-0.8213427,77,217
 last,-8.897987,85,217
 year,-0.8848587,90,217
 .,-7.7200904,95,217
She,,0,218
 told,-4.937289,3,218
 me,-1.1518544,8,218
 who,-7.183592,11,218
 secretly,-12.60727,15,218
 the,-7.08792,24,218
 star,-6.726601,28,218
 student,-7.96435,33,218
 stole,-11.756926,41,218
 answers,-7.799118,47,218
 to,-3.0769267,55,218
 the,-1.33044,58,218
 test,-1.2598685,62,218
 from,-1.836554,67,218
 last,-5.438707,72,218
 year,-1.1068707,77,218
 .,-7.2520275,82,218
She,,0,219
 told,-4.937396,3,219
 me,-1.1490201,8,219
 that,-1.5306077,11,219
 secretly,-11.864516,16,219
 the,-4.1786814,25,219
 star,-8.054788,29,219
 student,-7.4250813,34,219
 stole,-8.165997,42,219
 answers,-4.6734433,48,219
 to,-1.6487433,56,219
 the,-1.3428162,59,219
 test,-1.7209997,63,219
 from,-0.9815012,68,219
 last,-7.029023,73,219
 year,-0.274012,78,219
 .,-8.944035,83,219
She,,0,220
 knows,-5.9452376,3,220
 what,-2.401861,9,220
 with,-11.127715,14,220
 skill,-10.421337,19,220
 the,-4.9875684,25,220
 collector,-10.197925,29,220
 forged,-11.110349,39,220
 the,-4.5749936,46,220
 painting,-6.770009,50,220
 with,-4.2519445,59,220
 a,-2.4677174,64,220
 brush,-3.6559103,66,220
 a,-6.264003,72,220
 short,-6.89067,74,220
 while,-1.9220389,80,220
 ago,-0.3314383,86,220
 .,-6.012431,90,220
She,,0,221
 knows,-5.9452376,3,221
 that,-2.391889,9,221
 with,-5.902221,14,221
 skill,-9.25104,19,221
 the,-6.0495,25,221
 collector,-10.855603,29,221
 forged,-12.952252,39,221
 the,-1.6907991,46,221
 painting,-4.45703,50,221
 with,-4.4526668,59,221
 a,-2.0741236,64,221
 brush,-3.3961294,66,221
 a,-7.012853,72,221
 short,-7.05115,74,221
 while,-1.4840039,80,221
 ago,-0.24737723,86,221
 .,-6.8948145,90,221
She,,0,222
 knows,-5.944976,3,222
 what,-2.3967419,9,222
 with,-11.122855,14,222
 skill,-10.403048,19,222
 the,-4.9923487,25,222
 collector,-10.217561,29,222
 forged,-11.111756,39,222
 the,-4.5914793,46,222
 painting,-6.7775493,50,222
 with,-4.2504673,59,222
 a,-2.474425,64,222
 short,-8.540485,66,222
 while,-5.2009573,72,222
 ago,-0.785809,78,222
 .,-6.0042353,82,222
She,,0,223
 knows,-5.944903,3,223
 that,-2.3917704,9,223
 with,-5.903448,14,223
 skill,-9.253767,19,223
 the,-6.029646,25,223
 collector,-10.878976,29,223
 forged,-12.929511,39,223
 the,-1.6955067,46,223
 painting,-4.45897,50,223
 with,-4.444758,59,223
 a,-2.0813084,64,223
 short,-9.191502,66,223
 while,-5.054773,72,223
 ago,-1.03627,78,223
 .,-6.038633,82,223
We,,0,224
 all,-5.224393,2,224
 remember,-4.830856,6,224
 what,-3.050839,15,224
 illegally,-16.706099,20,224
 the,-6.9974313,30,224
 convict,-11.316664,34,224
 brought,-7.958936,42,224
 a,-3.7420104,50,224
 gun,-1.9528934,52,224
 into,-1.4846677,56,224
 the,-0.6520718,61,224
 prison,-1.8718337,65,224
 two,-8.497451,72,224
 weeks,-1.962947,76,224
 ago,-0.5488858,82,224
 .,-6.842291,86,224
We,,0,225
 all,-5.224393,2,225
 remember,-4.830856,6,225
 that,-2.478253,15,225
 illegally,-13.820149,20,225
 the,-5.984006,30,225
 convict,-11.36069,34,225
 brought,-7.840115,42,225
 a,-1.9069961,50,225
 gun,-2.3130798,52,225
 into,-1.1930265,56,225
 the,-0.41727197,61,225
 prison,-1.8832717,65,225
 two,-9.141416,72,225
 weeks,-1.9691261,76,225
 ago,-0.9426751,82,225
 .,-7.8049173,86,225
We,,0,226
 all,-5.2247014,2,226
 remember,-4.8256693,6,226
 what,-3.0448534,15,226
 illegally,-16.705578,20,226
 the,-6.9868474,30,226
 convict,-11.304916,34,226
 brought,-7.9473267,42,226
 a,-3.7368443,50,226
 gun,-1.9610872,52,226
 into,-1.4984524,56,226
 two,-8.354765,61,226
 weeks,-4.9177804,65,226
 ago,-1.2419553,71,226
 .,-6.373262,75,226
We,,0,227
 all,-5.22483,2,227
 remember,-4.8240385,6,227
 that,-2.480667,15,227
 illegally,-13.828822,20,227
 the,-5.970272,30,227
 convict,-11.37629,34,227
 brought,-7.849705,42,227
 a,-1.8942852,50,227
 gun,-2.3105466,52,227
 into,-1.1953123,56,227
 two,-9.373367,61,227
 weeks,-6.3629136,65,227
 ago,-1.5775973,71,227
 .,-6.6734886,75,227
My,,0,228
 friend,-4.2511897,2,228
 reported,-8.936056,9,228
 who,-10.066368,18,228
 illegally,-10.264734,22,228
 the,-8.860034,32,228
 company,-5.4841547,36,228
 sold,-5.63988,44,228
 multiple,-8.907697,49,228
 assets,-7.8856716,58,228
 to,-1.2770566,65,228
 stock,-9.449486,68,228
 holders,-2.9744995,74,228
 last,-7.4443264,82,228
 quarter,-5.8303447,87,228
 .,-5.6816115,95,228
My,,0,229
 friend,-4.2511897,2,229
 reported,-8.936056,9,229
 that,-1.0265411,18,229
 illegally,-13.815354,23,229
 the,-4.3618884,33,229
 company,-4.9425917,37,229
 sold,-5.313694,45,229
 multiple,-9.169557,50,229
 assets,-7.094719,59,229
 to,-1.3247212,66,229
 stock,-9.080077,69,229
 holders,-2.1748507,75,229
 last,-8.80051,83,229
 quarter,-5.339852,88,229
 .,-6.216369,96,229
My,,0,230
 friend,-4.2511916,2,230
 reported,-8.943566,9,230
 who,-10.086945,18,230
 illegally,-10.273655,22,230
 the,-8.845405,32,230
 company,-5.4756165,36,230
 sold,-5.643586,44,230
 multiple,-8.908932,49,230
 assets,-7.8938413,58,230
 to,-1.2699838,65,230
 last,-10.088577,68,230
 quarter,-6.9061384,73,230
 .,-6.51356,81,230
My,,0,231
 friend,-4.25121,2,231
 reported,-8.934986,9,231
 that,-1.0264437,18,231
 illegally,-13.821465,23,231
 the,-4.360754,33,231
 company,-4.942823,37,231
 sold,-5.3244433,45,231
 multiple,-9.161972,50,231
 assets,-7.094927,59,231
 to,-1.3258653,66,231
 last,-12.314175,69,231
 quarter,-6.959498,74,231
 .,-7.0057473,82,231
I,,0,232
 do,-5.358222,1,232
 not,-0.8787357,4,232
 know,-1.8186989,8,232
 what,-1.8659315,13,232
 with,-10.512564,18,232
 malice,-9.184211,23,232
 her,-10.104114,30,232
 rival,-7.5624156,34,232
 derailed,-13.963464,40,232
 the,-2.248521,49,232
 performance,-7.195252,53,232
 with,-4.7807903,65,232
 a,-1.8931583,70,232
 cruel,-7.383639,72,232
 plan,-5.781934,78,232
 last,-9.866899,83,232
 week,-2.35807,88,232
 .,-6.0705576,93,232
I,,0,233
 do,-5.358221,1,233
 not,-0.8784231,4,233
 know,-1.8191471,8,233
 that,-3.8778298,13,233
 with,-7.7106133,18,233
 malice,-9.409809,23,233
 her,-10.193771,30,233
 rival,-7.639885,34,233
 derailed,-12.961538,40,233
 the,-2.089613,49,233
 performance,-7.9365344,53,233
 with,-4.776228,65,233
 a,-1.7285368,70,233
 cruel,-7.1013184,72,233
 plan,-5.6045094,78,233
 last,-10.30665,83,233
 week,-2.266083,88,233
 .,-6.53276,93,233
I,,0,234
 do,-5.3586655,1,234
 not,-0.8788051,4,234
 know,-1.8203351,8,234
 what,-1.8647697,13,234
 with,-10.512634,18,234
 malice,-9.198597,23,234
 her,-10.102143,30,234
 rival,-7.5628524,34,234
 derailed,-13.967321,40,234
 the,-2.2498271,49,234
 performance,-7.1974273,53,234
 with,-4.7840285,65,234
 last,-8.460057,70,234
 week,-3.2761579,75,234
 .,-6.5798326,80,234
I,,0,235
 do,-5.3586655,1,235
 not,-0.8788051,4,235
 know,-1.8203351,8,235
 that,-3.8819966,13,235
 with,-7.6980524,18,235
 malice,-9.41038,23,235
 her,-10.177762,30,235
 rival,-7.650452,34,235
 derailed,-12.958915,40,235
 the,-2.0899305,49,235
 performance,-7.93126,53,235
 with,-4.7695155,65,235
 last,-8.457545,70,235
 week,-4.4435244,75,235
 .,-8.240227,80,235
She,,0,236
 can,-5.415049,3,236
 guess,-8.974128,7,236
 what,-1.6904013,13,236
 with,-10.650032,18,236
 much,-8.313987,23,236
 fan,-8.375033,28,236
fare,-0.0329523,32,236
 the,-2.5380194,36,236
 movie,-7.2648487,40,236
 star,-4.4669614,46,236
 received,-7.5211444,51,236
 a,-2.5443366,60,236
 prize,-5.8499484,62,236
 for,-1.3370746,68,236
 her,-2.544868,72,236
 hard,-6.5516706,76,236
 work,-0.11244487,81,236
 during,-5.1203365,86,236
 the,-0.61047745,93,236
 award,-4.544056,97,236
 ceremony,-0.47598273,103,236
 .,-6.1561995,112,236
She,,0,237
 can,-5.4142346,3,237
 guess,-8.982227,7,237
 that,-2.4072008,13,237
 with,-6.5592885,18,237
 much,-7.9928126,23,237
 fan,-7.9773235,28,237
fare,-0.02703597,32,237
 the,-2.596136,36,237
 movie,-6.9765153,40,237
 star,-3.6877885,46,237
 received,-7.626916,51,237
 a,-1.4966102,60,237
 prize,-6.1471877,62,237
 for,-1.1927906,68,237
 her,-2.2345839,72,237
 hard,-6.5673227,76,237
 work,-0.08624356,81,237
 during,-5.2432466,86,237
 the,-0.5542532,93,237
 award,-5.3309817,97,237
 ceremony,-0.59228987,103,237
 .,-7.1527095,112,237
She,,0,238
 can,-5.414426,3,238
 guess,-8.965623,7,238
 what,-1.6915017,13,238
 with,-10.639384,18,238
 much,-8.322309,23,238
 fan,-8.368311,28,238
fare,-0.033322465,32,238
 the,-2.5484462,36,238
 movie,-7.267052,40,238
 star,-4.472946,46,238
 received,-7.516794,51,238
 a,-2.5317948,60,238
 prize,-5.855239,62,238
 for,-1.3396044,68,238
 during,-9.081345,72,238
 the,-0.7182618,79,238
 award,-3.5188982,83,238
 ceremony,-0.59655875,89,238
 .,-6.628062,98,238
She,,0,239
 can,-5.4143662,3,239
 guess,-8.967896,7,239
 that,-2.4059093,13,239
 with,-6.5594907,18,239
 much,-7.9802084,23,239
 fan,-7.978326,28,239
fare,-0.02650004,32,239
 the,-2.5947552,36,239
 movie,-6.9730763,40,239
 star,-3.696877,46,239
 received,-7.642958,51,239
 a,-1.5000465,60,239
 prize,-6.147801,62,239
 for,-1.1915399,68,239
 during,-13.38613,72,239
 the,-1.0146035,79,239
 award,-3.946212,83,239
 ceremony,-0.5106627,89,239
 .,-6.557881,98,239
The,,0,240
 newspaper,-8.602253,3,240
 reported,-2.617685,13,240
 what,-8.1343155,22,240
 brutally,-16.698698,27,240
 the,-6.5242066,36,240
 suspect,-7.611875,40,240
 killed,-4.4918246,48,240
 the,-0.910067,55,240
 witness,-8.867379,59,240
 with,-3.8994615,67,240
 a,-1.0677576,72,240
 gun,-3.6430306,74,240
 in,-3.0958655,78,240
 the,-0.98925126,81,240
 middle,-4.434952,85,240
 of,-0.018551387,92,240
 the,-0.3090474,95,240
 night,-2.889113,99,240
 .,-6.8978047,105,240
The,,0,241
 newspaper,-8.602253,3,241
 reported,-2.617685,13,241
 that,-0.42666212,22,241
 brutally,-16.2418,27,241
 the,-7.23153,36,241
 suspect,-7.0413194,40,241
 killed,-3.2050786,48,241
